theta,q,method,epsilon,repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail_005_mean,null_tail_005_mcse,null_tail_010_mean,null_tail_010_mcse
0.0,1.0,random,0.0,2000,0.06481865275547795,0.0016628116245285965,0.5266500000000001,0.006670406540212211,23.3535,0.31315220105487485,0.04998194444444445,0.00042741296365395075,0.09964305555555555,0.0005819755450829837
0.0,0.25,selected,0.0,2000,0.06481865275547795,0.0016628116245285965,0.5266500000000001,0.006670406540212211,23.3535,0.31315220105487485,0.04998194444444445,0.00042741296365395075,0.09964305555555555,0.0005819755450829837
0.0,0.25,weighted_correct,0.0,2000,0.04390552869064085,0.001630684315069447,0.19041249999999998,0.004434273058873949,8.4485,0.20243557977040122,0.04653472222222222,0.0004631524604999866,0.09705694444444445,0.0006597042773333286
0.0,0.25,weighted_legacy,0.0,2000,0.10416438096594989,0.0019150957720877918,0.684125,0.0043570398880194905,31.3665,0.24002894788527374,0.05099861111111112,0.0004988354841980947,0.10108472222222221,0.0006760030109851937
0.0,0.05,selected,0.0,2000,0.06481865275547795,0.0016628116245285965,0.5266500000000001,0.006670406540212211,23.3535,0.31315220105487485,0.04998194444444445,0.00042741296365395075,0.09964305555555555,0.0005819755450829837
0.0,0.05,weighted_correct,0.0,2000,0.06006357046397663,0.0019002855662683144,0.24141250000000003,0.004062169590596432,10.773,0.18711424684049405,0.03399583333333332,0.00048229759768397796,0.08754305555555555,0.0009527137833758012
0.0,0.05,weighted_legacy,0.0,2000,0.14213345734674765,0.002235721330255906,0.7459,0.0037727177471419456,35.8895,0.2471501294117284,0.06072083333333333,0.0008328462803002184,0.10960694444444445,0.0011402122538934111
0.0,0.0,selected,0.0,2000,0.06481865275547795,0.0016628116245285965,0.5266500000000001,0.006670406540212211,23.3535,0.31315220105487485,0.04998194444444445,0.00042741296365395075,0.09964305555555555,0.0005819755450829837
0.0,1.0,independent_contamination,0.05,2000,0.0003442241578111143,0.00012346090312121539,0.0079,0.0014673092715065646,0.325,0.06064673538828473,0.013176388888888887,0.00026511278069996444,0.056611111111111105,0.0005399845290800681
0.0,1.0,independent_contamination,0.1,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0020486111111111113,8.33679209992117e-05,0.021148611111111108,0.0003665694974164941
2.0,1.0,random,0.0,2000,0.053331167303750975,0.001998631671295062,0.17623750000000002,0.005512022699880416,8.4335,0.266673670050399,0.04968472222222222,0.0004214706375777789,0.0984625,0.0005805915198924211
2.0,0.25,selected,0.0,2000,0.16663489483527777,0.00383074626979321,0.3732125,0.006613985642176165,21.77,0.445948410685021,0.11825972222222222,0.0008668179527364571,0.22264444444444445,0.001054897667894877
2.0,0.25,weighted_correct,0.0,2000,0.00494442224606434,0.0010716853050108399,0.0090375,0.0018016495267902945,0.6485,0.13410057925929642,0.04432083333333334,0.0005678783135162073,0.09405416666666666,0.0008053275830581315
2.0,0.25,weighted_legacy,0.0,2000,0.1523711001703631,0.0028437074998709515,0.4361,0.004382336412944368,22.1145,0.27321789634729676,0.051401388888888885,0.000618982247120483,0.10178749999999999,0.0008297088460107334
2.0,0.05,selected,0.0,2000,0.5627901455073482,0.004332095819547342,0.7866749999999999,0.004572039912553365,88.2835,0.892055460914664,0.26828749999999996,0.001113786361223477,0.38019444444444445,0.000979989932241215
2.0,0.05,weighted_correct,0.0,2000,0.006679445393357932,0.0006065059543639955,0.0557,0.0027694927414641315,2.3235,0.1157156814544478,0.019674999999999998,0.0007244520307430524,0.07395555555555555,0.0013212266602839792
2.0,0.05,weighted_legacy,0.0,2000,0.3375320662051765,0.004215317127832436,0.6190125000000001,0.00396043857530064,43.9145,0.5696686370628335,0.06140694444444445,0.0012471212624830873,0.11736666666666667,0.0016163206901624496
2.0,0.0,selected,0.0,2000,0.731842148056028,0.0010769533820327926,0.9328624999999999,0.0011320114937075252,143.2805,0.558376039758054,0.3385875,0.0009777888938905753,0.4284708333333333,0.000859384390481503
2.0,1.0,independent_contamination,0.05,2000,0.0009908454106280194,0.00027339795141471116,0.0037625,0.000944933593763769,0.1715,0.042900630613704575,0.02309722222222222,0.000332807047293664,0.06734722222222221,0.0005361443160928353
2.0,1.0,independent_contamination,0.1,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.007797222222222223,0.00018726111992711588,0.04015555555555555,0.0004430904211905272
